Уральський рекс,Уральский рекс,Ural Rex.
Російська біла, чорна і таббі,Русская белая , черная и табби,Russian white, black and tabby
Четог,Četo.,Četo
Сумксу,Орошение,Irrigation
Балійська кішка,Балийская кошка,Balinese cat
Американська короткошерста кішка,Американская короткошерстная кошка,American Shorthair Cat
Сейшельська,Сейшельская,Seychelles
Британська довгошерста,Британская длинношерстная,British long-haired
Сквіттен,Сквиттен,Shrink
Тайський бобтейл,тайский бобтейл,Thai Bobtel
Бурмила,Бурмила,Burmila
Блакитноока кішка,голубоглазая кошка,Blue-eyed cat
Сіамська кішка,сиамская кошка,Siamese cat
Короткошерстий колорпоінт,короткошерстный колорпоинт,Shorthaired Colorpoints
Шартрез,шартрез,Chartreuse
Пуделькет,Пуделькет,Poodlequet
Орегонський рекс,Орегонский рекс,Oregon Rex.
Гімалайська кішка,гималайская кошка,Himalayan cat
Серегнеті,Серегнети,The medium
Корніш-рекс,Корниш -рекс,Cornish-rex.
Саванна,Саванна,Savannah
Канаані,Ханаан,Canaan
Бомбейська кішка,Бомбейская кошка,Bombay cat
Американський бобтейл,американский бобтейл,American Bobtel
Перська кішка,Персидский кошка,Persian cat
Корат,Работа,Work
Соукок,Соукок,Soukok
Орієнтальний біколор,ориентальный биколор,Oriental bicolor
Екзотична короткошерста,экзотическая короткошерстная,Exotic Shorthair
Йоркська шоколадна кішка,Йоркская шоколадная кошка,York Chocolate Cat
Скотіш фолд,Скотинская складка,Scotish Fold
Бурманська кішка,бурманская кошка,Burmese cat
Бірманська кішка,бирманская кошка,Burmese cat
Кімрійська,Кимрийська,Kiminskaya
Сингапурська кішка,Сингапурская кошка,Singapore cat
Карельський бобтейл,Карельський бобтейл,Karelicy Bobtail
Донський сфінкс,Донской сфинкс,Don Sphinx
Каліфорнійська кішка,Калифорнийская кошка,California cat
Піксибоб,пиксибоб,Pixibob
Тайська,Тайский,Thai
Девон-рекс,Девон-рекс,Devon Rex
Нібелунг,Нибелунг,Nibelung.
Американський полідактиль,американский полидактиль,American polydactyl
Егейська кішка,эгейская кошка,Aegean cat
Уссурі,Уссури,Uswash
Російська блакитна,Русская голубая,Russian Blue
Курильський бобтейл,Курильський бобтейл,Kurilsky Bobtail
Оцикет,Ocixte.,Ocixte
Бенгальська кішка,бенгальская кошка,Bengal Cat
Сомалійська,сомалийская,Somali
Український левкой,украинский левкой,Ukrainian Levko
Орієнтальна,ориентальная,Oriental
Американський керл,американский керл,American Kirl.
Менська кішка,Менский кошка,Men's Cat
Турецька ванкедісі,турецкий ванкедиси,Turkish vankedisi
Раґамаффін,Ragamaffhin.,Ragamaffhin
Шаузі,Шатком,Shawk
Арабська мау,Арабский мау,Arabic UIA.
Као-мані,Као -мани,Kao mana
Анатолійська кішка,анатолийская кошка,Anatolian Cat
Німецький рекс,немецкий рекс,German Rex.
Сфінкс,сфинкс,Sphinx
Селкірк-рекс,Селкирк -рекс,Selkirk-Rex.
Регдол,Закупка,Procure
Американська жорсткошерста кішка,Американская жесткошерстная кошка,American Rigger Cat
Азійська напівдовгошерста,азиатская длинношерстная кошка,Asian seminals
Сибірська кішка,Сибирская кошка,Siberian cat
Сноу-шу,Сноу-шу,Snow-Shu.
ЛаПерм,Лакферм,Lacperm
Турецька ангора,турецкая ангора,Turkish Angora
Той-бобтейл,He-Bobtail,He-bobtail
Європейська короткошерста,европейская короткошерстная,European Shorthair
Пітерболд,ПЕТЕРБОЛД,Peterbold
Єгипетська мау,Египетская мау,Egyptian UIA
Австралійська димчаста кішка,Австралийская дымчатая кошка,Australian smoky cat
Мейн-кун,Мейн-кун,Maine Coon
Тойгер,Доверие,Putter
Японський бобтейл,японский бобтейл,Japanese Bobtel
Дракон Лі,дракон Ли,Dragon L.
Британська короткошерста кішка,Британская короткошерстная кошка,British Shorthair Cat
Бразильська короткошерста кішка,Бразильская короткошерстная кошка,Brazilian Shorthair Cat
Ашера,Ахера,Achera
Норвезька лісова,Норвежская лесная,Norwegian Forest
Гавана браун,Гавана Браун,Gavana Brown
Турецький ван,турецкий ван,Turkish van.
Шантільї-Тіфані,Шантильи - Тиффани,Shantilly-Tifany
Манчкін,Манчкин,Manchkin
Абісинська кішка,Абиссинская кошка,Abyssky Cat
Азійська,азиатская,Asian
Орієнтальна довгошерста,ориентальная длинношерстная,Oriental long-haired
Тонкінська,Тонкинская,Takinskaya
